Title,Year,Note
School of the Holy Beast,1974,7/8 CTV_2022-08-17 - HORNY MANIACS!& 2/9 CTV_2021-05-06 - NUNSPLOITATION
Pets,1973,8/8 CTV_2022-08-17 - HORNY MANIACS!& 1/16 CTV_2022-04-01 - Not Quite Porn: Sexploitation of the 1970’s
Kontroll,2003,1/7 CTV_2022-08-09 - Films in Underground Subways& 8/9 CTV_2022-04-05 - Hungarian Arthouse and Fantasy
Subway,1985,2/7 CTV_2022-08-09 - Films in Underground Subways& 3/7 CTV_2021-12-30 - Bizarre Noir (REDUX)!& 5/7 CTV_2021-01-04 - Bizarre Noir!
The Warriors,1979,3/7 CTV_2022-08-09 - Films in Underground Subways& 2/9 CTV_2021-08-12 - Old New York: The Pre-Giuliani Years (Part 2)
Moebius,1996,4/7 CTV_2022-08-09 - Films in Underground Subways
Diva,1981,"5/7 CTV_2022-08-09 - Films in Underground Subways& 4/7 CTV_2021-04-05 - Z CHANNEL! We recreate an evening and afternoon of the glorious Z CHANNEL cable service, which played Art House and other great films in Southern California from the mid 70's to the late 80's!& 1/8 CTV_2020-08-03 - Cinema Revival House Monday!  we will be showing an eclectic mix of films shown at San Francisco's infamous Market Street Theater, STRAND THEATER. These were films shown on a Monday during the 1980's! Tune in for the Strand trailer pre-show at 8!"
The Incident,1967,6/7 CTV_2022-08-09 - Films in Underground Subways
The Taking of Pelham 123,1974,7/7 CTV_2022-08-09 - Films in Underground Subways
Knights Electric,1981,"1/19 CTV_2022-08-05 - Punk, Rock & Rebel Sinema!"
"Throw Away Your Books, Rally in the Streets",1971,"2/19 CTV_2022-08-05 - Punk, Rock & Rebel Sinema!& 7/7 CTV_2022-01-27 - Japanese Musicals and Musical Theatre"
Desperate Teenage Lovedolls,1984,"3/19 CTV_2022-08-05 - Punk, Rock & Rebel Sinema!& 1/8 CTV_2020-11-12 - WOMEN IN PUNK!  @clavendr is back on lead guitar to riff together another electric program revolving around female punks in cinema! (Swipe for trailer)"
You Killed Me First,1985,"4/19 CTV_2022-08-05 - Punk, Rock & Rebel Sinema!& 3/20 CTV_2020-05-21 - We continue our No-Wave cinema series with The Films of Richard Kern, Decoder, Where Evil Dwells, Vivienne Dick, Men in Orbit and Rome ’78!"
Dandy,1988,"5/19 CTV_2022-08-05 - Punk, Rock & Rebel Sinema!"
Heavy Metal Massacre,1989,"6/19 CTV_2022-08-05 - Punk, Rock & Rebel Sinema!& 6/11 CTV_2022-06-24 - WTF & STUFF!& 3/13 CTV_2022-02-04 - WTF FRIDAY RETURNS!"
Punk Rock,1977,"7/19 CTV_2022-08-05 - Punk, Rock & Rebel Sinema!"
964 Pinocchio,1991,"8/19 CTV_2022-08-05 - Punk, Rock & Rebel Sinema!& 3/12 CTV_2021-07-02 - PUNKS IN CINEMA (Redux)& 2/12 CTV_2021-02-10 - パンク狂気 Panku kyōki : Japanese Underground Punk Cinema REDUX! 🇯🇵🔥& 2/11 CTV_2020-08-18 - ENCORE   パンク狂気 Panku kyōki : Japanese Underground Punk Cinema"
Debt Begins at 20,1980,"9/19 CTV_2022-08-05 - Punk, Rock & Rebel Sinema!& 7/9 CTV_2021-01-07 - Artist Joshua Rievel AKA @hamburgerlady takes over the stream with an awesome themed show he's calling “The Signal is Coming from Pittsburgh!”& 6/23 CTV_2020-05-19 - WEIRD WAVES: A retrospect of rarely seen video clips birthed from the flames of the punk underground 1976 - 1984.  This is an extension of a screening we hosted back in 2017 in Los Angeles and 2019 in Detroit"
The Decline of Western Civilization Part II: The Metal Years,1988,"10/19 CTV_2022-08-05 - Punk, Rock & Rebel Sinema!& 2/18 CTV_2021-08-27 - LA in Cinema!  18 Films!"
Leather Poltergeist,1982,"11/19 CTV_2022-08-05 - Punk, Rock & Rebel Sinema!& 19/23 CTV_2020-05-19 - WEIRD WAVES: A retrospect of rarely seen video clips birthed from the flames of the punk underground 1976 - 1984.  This is an extension of a screening we hosted back in 2017 in Los Angeles and 2019 in Detroit"
Intrépidos Punks,1988,"12/19 CTV_2022-08-05 - Punk, Rock & Rebel Sinema!& 6/9 CTV_2021-12-09 - STREET GANGS"
Ecstatic Stigmatic,1980,"13/19 CTV_2022-08-05 - Punk, Rock & Rebel Sinema!"
Unmade Beds,1976,"14/19 CTV_2022-08-05 - Punk, Rock & Rebel Sinema!& 1/5 CTV_2020-05-07 - As a part of our NY No-Wave / Transgressive cinema screening series, we present to you: The Art of Getting Over: NY Street 1976 - 1983.  When the punk and no-wave scene started to mix with the hip-hop scene and history brewed"
Submit To Me,1986,"15/19 CTV_2022-08-05 - Punk, Rock & Rebel Sinema!"
"Pepi, Luci, Bom",1980,"16/19 CTV_2022-08-05 - Punk, Rock & Rebel Sinema!& 1/8 CTV_2022-02-15 - @clavendr presents: Galentine's Day - Salacious Female Friendship and Queerdom!"
I Hate You Now,1985,"17/19 CTV_2022-08-05 - Punk, Rock & Rebel Sinema!& 12/20 CTV_2020-05-21 - We continue our No-Wave cinema series with The Films of Richard Kern, Decoder, Where Evil Dwells, Vivienne Dick, Men in Orbit and Rome ’78!"
The Blank Generation,1976,"18/19 CTV_2022-08-05 - Punk, Rock & Rebel Sinema!"
Sir Drone,1989,"19/19 CTV_2022-08-05 - Punk, Rock & Rebel Sinema!"
Phantom Brother,1988,1/7 CTV_2022-08-04 - @worsethanjail presents: Naughty Siblings!& 8/15 CTV_2022-05-07 - WTF RETURNS!
White Fire,1984,2/7 CTV_2022-08-04 - @worsethanjail presents: Naughty Siblings!
Sally & Jess,1989,3/7 CTV_2022-08-04 - @worsethanjail presents: Naughty Siblings!
The Devil Inside Her,1977,4/7 CTV_2022-08-04 - @worsethanjail presents: Naughty Siblings!
Party Line,1988,5/7 CTV_2022-08-04 - @worsethanjail presents: Naughty Siblings!
Orgasmo,1969,6/7 CTV_2022-08-04 - @worsethanjail presents: Naughty Siblings!
The Other,1972,7/7 CTV_2022-08-04 - @worsethanjail presents: Naughty Siblings!& 4/9 CTV_2020-10-26 - Supernatural Terrors!
Lou Lou,1980,1/7 CTV_2022-08-02 - IMPASSIONED Lovers
A Man and a Woman,1966,2/7 CTV_2022-08-02 - IMPASSIONED Lovers
Betty Blue AKA 37°2 Le Matin (Directors Cut),1986,3/7 CTV_2022-08-02 - IMPASSIONED Lovers
Crazed Fruit,1956,"4/7 CTV_2022-08-02 - IMPASSIONED Lovers& 4/7 CTV_2021-11-03 - The Hair Show! Curated by Hair Stylist extraordinaire @dylanchavles “Movies that made me want to do hair, movies that made me cut my hair”"
Moon in The Gutter,1983,5/7 CTV_2022-08-02 - IMPASSIONED Lovers
Slogan,1969,6/7 CTV_2022-08-02 - IMPASSIONED Lovers
Lovers of Pont-Neuf,1991,7/7 CTV_2022-08-02 - IMPASSIONED Lovers
Havre,1986,1/8 CTV_2022-08-01 - Arthouse Mondays!
One Day Pina Asked…,1983,2/8 CTV_2022-08-01 - Arthouse Mondays!
Todo Modo,1976,3/8 CTV_2022-08-01 - Arthouse Mondays!
Dillinger Is Dead,1969,4/8 CTV_2022-08-01 - Arthouse Mondays!
Empty Suitcases,1980,5/8 CTV_2022-08-01 - Arthouse Mondays!
An Uneventful Story,1983,6/8 CTV_2022-08-01 - Arthouse Mondays!
I Only Want You To Love Me,1976,7/8 CTV_2022-08-01 - Arthouse Mondays!
Alice au Pays des Merveilles,1970,8/8 CTV_2022-08-01 - Arthouse Mondays!
Wicked World,1991,1/12 CTV_2022-07-29 - Best of WTF!
Final Flesh,2009,2/12 CTV_2022-07-29 - Best of WTF!
Psychos in Love,1987,3/12 CTV_2022-07-29 - Best of WTF!& 4/13 CTV_2022-02-04 - WTF FRIDAY RETURNS!
Night Dreams,1981,4/12 CTV_2022-07-29 - Best of WTF!
The Basement,1989,5/12 CTV_2022-07-29 - Best of WTF!& 3/12 CTV_2021-12-17 - WTF Friday!
The Last Slumber Party,1988,6/12 CTV_2022-07-29 - Best of WTF!& 1/12 CTV_2021-12-17 - WTF Friday!
Scary Tales,1993,7/12 CTV_2022-07-29 - Best of WTF!
The Corpse Grinders,1971,8/12 CTV_2022-07-29 - Best of WTF!& 11/13 CTV_2022-02-04 - WTF FRIDAY RETURNS!
Limbo,1999,9/12 CTV_2022-07-29 - Best of WTF!& 7/13 CTV_2022-02-04 - WTF FRIDAY RETURNS!
The Soultangler,1987,"10/12 CTV_2022-07-29 - Best of WTF!& 1/10 CTV_2021-11-26 - FREAKY FRIDAY: Wigged out, drugged out & downright outrageous cinema!"
Violence Voyager,2018,11/12 CTV_2022-07-29 - Best of WTF!& 11/12 CTV_2021-12-17 - WTF Friday!
Demon Wind,1990,12/12 CTV_2022-07-29 - Best of WTF!& 4/8 CTV_2020-07-31 - It’s CREATURE FEATURE FRIDAY! Strange and crazy horror from the beyond!
Immoral Tales,1974,1/7 CTV_2022-07-28 - HORNY ARTHOUSE
The Devils,1971,2/7 CTV_2022-07-28 - HORNY ARTHOUSE& 9/9 CTV_2021-05-06 - NUNSPLOITATION& 7/10 CTV_2021-02-14 - A Very Hot Duck Valentines Show! Curated by @1800hotduck& 2/5 CTV_2020-05-28 - DEREK JARMAN: Selected Film Work 👁
Daughters of Darkness,1971,"3/7 CTV_2022-07-28 - HORNY ARTHOUSE& 4/9 CTV_2021-05-05 - Girls, Guts, & Giallo presents: LE FEMMES DE VAMPS:  Annie Rose Malamet @fatgawth curates a night of the sexiest sapphic blood suckers ever captured on film! @girlsgutsgiallo"
Bacchanale,1970,4/7 CTV_2022-07-28 - HORNY ARTHOUSE
The Shadowed Mind,1988,5/7 CTV_2022-07-28 - HORNY ARTHOUSE
Crimes of Passion,1984,6/7 CTV_2022-07-28 - HORNY ARTHOUSE& 8/12 CTV_2022-01-28 - HORNY THRILLERS
Szamanka,1996,7/7 CTV_2022-07-28 - HORNY ARTHOUSE
Ossos,1997,"1/7 CTV_2022-07-27 - EVEN More  Sloooooow Cinema Jams& 4/7 CTV_2021-06-01 - .  Slow Cinema& 3/6 CTV_2020-12-28 - Gestures of Destitution : Slums, Gangs, and Stories of Impoverished Youth"
Two Years at Sea,2011,2/7 CTV_2022-07-27 - EVEN More  Sloooooow Cinema Jams
Three Days,1992,3/7 CTV_2022-07-27 - EVEN More  Sloooooow Cinema Jams
The Virgins Bed,1969,4/7 CTV_2022-07-27 - EVEN More  Sloooooow Cinema Jams
The Man from London,2007,5/7 CTV_2022-07-27 - EVEN More  Sloooooow Cinema Jams
The Mirror,1975,6/7 CTV_2022-07-27 - EVEN More  Sloooooow Cinema Jams& 8/8 CTV_2021-06-14 - Poetic Cinema!
Russian Ark,2002,7/7 CTV_2022-07-27 - EVEN More  Sloooooow Cinema Jams
Obsession,1976,1/7 CTV_2022-07-26 - VOYEURISM & OBSESSIONS
Femme Fatale,2002,2/7 CTV_2022-07-26 - VOYEURISM & OBSESSIONS
Play Misty for Me,1971,3/7 CTV_2022-07-26 - VOYEURISM & OBSESSIONS
Coming Apart,1969,4/7 CTV_2022-07-26 - VOYEURISM & OBSESSIONS& 4/8 CTV_2021-06-23 - The Mental Vortex
Dead Leaves,1998,5/7 CTV_2022-07-26 - VOYEURISM & OBSESSIONS
Camera Buff aka Amator,1979,6/7 CTV_2022-07-26 - VOYEURISM & OBSESSIONS
The Collector,1965,7/7 CTV_2022-07-26 - VOYEURISM & OBSESSIONS& 7/7 CTV_2021-08-02 - Obsession!
John Travolto: The Face with Two Left Feet,1979,1/10 CTV_2022-07-22 - DISCO FEVER!
Thank God It’s Friday,1978,2/10 CTV_2022-07-22 - DISCO FEVER!& 1/9 CTV_2021-03-12 - DISCO FEVER!
Disco Godfather,1979,3/10 CTV_2022-07-22 - DISCO FEVER!& 3/12 CTV_2022-02-18 - BLAXPLOITATION RETURNS: More Black American Genre Cinema 1972-1979& 2/9 CTV_2021-03-12 - DISCO FEVER!& 3/7 CTV_2020-07-03 - It’s a DISCO FEVER FRIDAY!
The Apple,1980,"4/10 CTV_2022-07-22 - DISCO FEVER!& 2/8 CTV_2022-03-23 - Space Musicals (and some Sci-Fi ""Rock Operas"")& 6/7 CTV_2021-09-16 - Enter the Strange!& 6/8 CTV_2020-10-08 - Wacked Out Musical Theater!!!"
Playboy’s Roller Disco & Pajama Party,1979,5/10 CTV_2022-07-22 - DISCO FEVER!
Disco Dancer,1982,6/10 CTV_2022-07-22 - DISCO FEVER!& 3/9 CTV_2021-03-12 - DISCO FEVER!& 2/7 CTV_2020-07-03 - It’s a DISCO FEVER FRIDAY!
Skatetown USA,1979,7/10 CTV_2022-07-22 - DISCO FEVER!& 4/9 CTV_2021-03-12 - DISCO FEVER!
Abba: The Movie,1977,8/10 CTV_2022-07-22 - DISCO FEVER!& 5/9 CTV_2021-03-12 - DISCO FEVER!& 4/7 CTV_2020-07-03 - It’s a DISCO FEVER FRIDAY!
Get Rollin’,1980,9/10 CTV_2022-07-22 - DISCO FEVER!& 6/11 CTV_2022-04-04 - Underrated Docs!& 8/9 CTV_2021-03-12 - DISCO FEVER!& 1/7 CTV_2020-07-03 - It’s a DISCO FEVER FRIDAY!
Studio 54,2018,10/10 CTV_2022-07-22 - DISCO FEVER!& 9/9 CTV_2021-03-12 - DISCO FEVER!
Taste of Cherry,1997,1/8 CTV_2022-07-19 - Disappearances and Departures
The Seventh Continent,1989,2/8 CTV_2022-07-19 - Disappearances and Departures
The Quiet Earth,1985,3/8 CTV_2022-07-19 - Disappearances and Departures& 5/9 CTV_2022-04-13 - THE END OF THE WORLD AS WE KNOW IT.  Guest curation by Femi Adeyemi @eddie_fiction.
Klute,1971,4/8 CTV_2022-07-19 - Disappearances and Departures
Missing,1982,5/8 CTV_2022-07-19 - Disappearances and Departures
Woman of the Dunes,1964,6/8 CTV_2022-07-19 - Disappearances and Departures& 7/8 CTV_2022-01-31 - Arthouse from the Desert& 8/9 CTV_2021-12-07 - Trilogies from the ATG (Art Theatre Guild) Filmography& 4/10 CTV_2021-01-28 - The films of Hiroshi Teshigahara. Happy Birthday Hiroshi! 🎂
L’Avventura,1960,7/8 CTV_2022-07-19 - Disappearances and Departures& 6/8 CTV_2021-03-01 - Gazing Into The Void : Lush Films Composed of Frigid Long Takes
A Man Vanishes,1967,8/8 CTV_2022-07-19 - Disappearances and Departures
Flesh for Frankenstein,1973,1/7 CTV_2022-07-14 - WARHOL / MORRISSEY& 3/11 CTV_2021-07-09 - HORNY HORROR!
Heat,1972,2/7 CTV_2022-07-14 - WARHOL / MORRISSEY& 14/18 CTV_2021-08-27 - LA in Cinema!  18 Films!
Blood for Dracula,1974,3/7 CTV_2022-07-14 - WARHOL / MORRISSEY
Flesh,1968,4/7 CTV_2022-07-14 - WARHOL / MORRISSEY
Women in Revolt,1971,5/7 CTV_2022-07-14 - WARHOL / MORRISSEY
Trash,1970,6/7 CTV_2022-07-14 - WARHOL / MORRISSEY
6AM PST Lonesome Cowboys,1968,7/7 CTV_2022-07-14 - WARHOL / MORRISSEY
"Paris, Texas",1984,1/6 CTV_2022-07-13 - COMPLICATED LOVE& 3/8 CTV_2022-01-31 - Arthouse from the Desert
The Lovers On The Bridge,1991,2/6 CTV_2022-07-13 - COMPLICATED LOVE
Breathless,1983,"3/6 CTV_2022-07-13 - COMPLICATED LOVE& 2/7 CTV_2020-08-10 - Lost in the Fringe: Seedy characters navigating through the hard road, whether it be by choice or desperation."
In the Realm of the Senses,1976,4/6 CTV_2022-07-13 - COMPLICATED LOVE& 1/8 CTV_2021-05-25 - Empirical Passions : Explicit Desires in Japanese Arthouse
The Unbearable Lightness of Being,1988,5/6 CTV_2022-07-13 - COMPLICATED LOVE
The Flower of My Secret,1995,6/6 CTV_2022-07-13 - COMPLICATED LOVE
Avalon,2001,1/14 CTV_2022-07-12 - The films of Mamoru Oshii
Angels Egg,1985,2/14 CTV_2022-07-12 - The films of Mamoru Oshii& 6/8 CTV_2021-06-14 - Poetic Cinema!
Talking Head,1991,3/14 CTV_2022-07-12 - The films of Mamoru Oshii
Patlabor: The Movie,1989,4/14 CTV_2022-07-12 - The films of Mamoru Oshii
Patlabor 2,1993,5/14 CTV_2022-07-12 - The films of Mamoru Oshii
Only You,1983,6/14 CTV_2022-07-12 - The films of Mamoru Oshii
Beautiful Dreamer,1984,7/14 CTV_2022-07-12 - The films of Mamoru Oshii
Twilight Q,1987,8/14 CTV_2022-07-12 - The films of Mamoru Oshii
The Amazing Lives of the Fast Food Grifters,2006,9/14 CTV_2022-07-12 - The films of Mamoru Oshii
The Red Spectacles,1987,10/14 CTV_2022-07-12 - The films of Mamoru Oshii& 2/8 CTV_2021-09-21 - Japanese Sci-Fi and Fantasy
Ghost in the Shell,1995,11/14 CTV_2022-07-12 - The films of Mamoru Oshii
Ghost in the Shell 2.0 :Innocence,2004,12/14 CTV_2022-07-12 - The films of Mamoru Oshii
Stray Dog : Kerberos Panzer Cops,1991,13/14 CTV_2022-07-12 - The films of Mamoru Oshii
The Sky Crawlers,2008,14/14 CTV_2022-07-12 - The films of Mamoru Oshii
Vamp,1986,1/13 CTV_2022-07-08 - FRI / SAT  PRESHOW& 4/8 CTV_2020-10-19 - Avant-Vamps: Arthouse Vampires
Bram Stoker's Dracula,1992,2/13 CTV_2022-07-08 - FRI / SAT  PRESHOW
Innocent Blood,1992,3/13 CTV_2022-07-08 - FRI / SAT  PRESHOW
Martin,1977,4/13 CTV_2022-07-08 - FRI / SAT  PRESHOW& 6/9 CTV_2021-05-14 - Subverted Genre! We picked a selection of genre films that are a little off their rocker!& 1/8 CTV_2020-10-19 - Avant-Vamps: Arthouse Vampires
Vampyres,1974,"5/13 CTV_2022-07-08 - FRI / SAT  PRESHOW& 7/9 CTV_2021-05-05 - Girls, Guts, & Giallo presents: LE FEMMES DE VAMPS:  Annie Rose Malamet @fatgawth curates a night of the sexiest sapphic blood suckers ever captured on film! @girlsgutsgiallo"
Lips of Blood,1975,"6/13 CTV_2022-07-08 - FRI / SAT  PRESHOW& 8/9 CTV_2021-05-05 - Girls, Guts, & Giallo presents: LE FEMMES DE VAMPS:  Annie Rose Malamet @fatgawth curates a night of the sexiest sapphic blood suckers ever captured on film! @girlsgutsgiallo"
The Nude Vampire,1970,7/13 CTV_2022-07-08 - FRI / SAT  PRESHOW
Nocturna,1979,8/13 CTV_2022-07-08 - FRI / SAT  PRESHOW
Def by Temptation,1990,9/13 CTV_2022-07-08 - FRI / SAT  PRESHOW
Deafula,1975,10/13 CTV_2022-07-08 - FRI / SAT  PRESHOW
Ganja & Hess,1973,11/13 CTV_2022-07-08 - FRI / SAT  PRESHOW& 2/10 CTV_2021-07-23 - BLAXPLOITATION 2: More Black American Genre Cinema 1973-1979& 5/8 CTV_2020-10-19 - Avant-Vamps: Arthouse Vampires
Nosferatu the Vampyre,1979,12/13 CTV_2022-07-08 - FRI / SAT  PRESHOW& 5/10 CTV_2021-01-11 - HERZOG.
Trouble Every Day,2001,13/13 CTV_2022-07-08 - FRI / SAT  PRESHOW& 3/13 CTV_2022-03-30 - THE FILMS OF CLAIRE DENIS& 5/8 CTV_2020-08-13 - La Créature Femelle!
My Brother Has Bad Dreams,1972,1/7 CTV_2022-07-07 - – Cypress State- An evening of Florida Horror and Exploitation
Deathdream,1974,2/7 CTV_2022-07-07 - – Cypress State- An evening of Florida Horror and Exploitation
Blood Stalkers,1976,3/7 CTV_2022-07-07 - – Cypress State- An evening of Florida Horror and Exploitation
The Alien Dead,1980,4/7 CTV_2022-07-07 - – Cypress State- An evening of Florida Horror and Exploitation
The Enchanted,1984,5/7 CTV_2022-07-07 - – Cypress State- An evening of Florida Horror and Exploitation
Assignment: Witches Talisman,2013,6/7 CTV_2022-07-07 - – Cypress State- An evening of Florida Horror and Exploitation
The Night Brings Charlie,1990,7/7 CTV_2022-07-07 - – Cypress State- An evening of Florida Horror and Exploitation
River’s Edge,1986,1/16 CTV_2022-07-01 - Coming of Age!& 7/8 CTV_2021-09-23 - YOUTH GONE WILD!& 2/9 CTV_2021-01-06 - The Kids Are Not Alright Part 2!
Risky Business,1983,2/16 CTV_2022-07-01 - Coming of Age!
Mysterious Skin,2004,3/16 CTV_2022-07-01 - Coming of Age!& 5/9 CTV_2021-01-06 - The Kids Are Not Alright Part 2!
Detroit Rock City,1999,4/16 CTV_2022-07-01 - Coming of Age!& 9/9 CTV_2021-01-06 - The Kids Are Not Alright Part 2!
Annie aka Blue Belle,1976,5/16 CTV_2022-07-01 - Coming of Age!
Christiane F.,1981,"6/16 CTV_2022-07-01 - Coming of Age!& 4/7 CTV_2020-08-10 - Lost in the Fringe: Seedy characters navigating through the hard road, whether it be by choice or desperation."
My Own Private Idaho,1991,"7/16 CTV_2022-07-01 - Coming of Age!& 2/12 CTV_2021-11-18 - REALITY (XOXO WHUUUT)& 1/7 CTV_2020-08-10 - Lost in the Fringe: Seedy characters navigating through the hard road, whether it be by choice or desperation."
The Adventures of Sebastian Cole,1998,8/16 CTV_2022-07-01 - Coming of Age!
Murmur of the Heart,1971,9/16 CTV_2022-07-01 - Coming of Age!
Over The Edge,1979,10/16 CTV_2022-07-01 - Coming of Age!& 6/8 CTV_2021-09-23 - YOUTH GONE WILD!& 4/10 CTV_2020-12-14 - Suburban Hell.
Birdy,1984,11/16 CTV_2022-07-01 - Coming of Age!
Streetwise,1984,12/16 CTV_2022-07-01 - Coming of Age!& 7/9 CTV_2021-01-06 - The Kids Are Not Alright Part 2!
Cooley High,1975,13/16 CTV_2022-07-01 - Coming of Age!& 7/9 CTV_2020-06-13 - Tune in at
Little Darlings,1980,"14/16 CTV_2022-07-01 - Coming of Age!& 9/9 CTV_2021-06-04 - Teenage Hornballs: The 80’s - Farts, Boobs, Belches, Boners, Weed, Boogers & Cola!& 8/8 CTV_2020-08-04 - TEENAGE KICKS:  A collection of films reflecting troubled, disenfranchised, aimless and lawless teens in the 60’s, 70’s and 80’s. Starts at"
Smooth Talk,1985,15/16 CTV_2022-07-01 - Coming of Age!
Crooklyn,1994,16/16 CTV_2022-07-01 - Coming of Age!& 1/8 CTV_2021-03-04 - Street Cinema
Wojnarowicz,2020,"1/8 CTV_2022-06-30 - Feral Fringe: Experimental, Erotic & Cerebral Queer Cinema RETURNS!"
No Skin Off My Ass,1991,"2/8 CTV_2022-06-30 - Feral Fringe: Experimental, Erotic & Cerebral Queer Cinema RETURNS!"
The Garden,1990,"3/8 CTV_2022-06-30 - Feral Fringe: Experimental, Erotic & Cerebral Queer Cinema RETURNS!& 8/9 CTV_2021-06-10 - Feral Fringe: Experimental, Erotic & Cerebral Queer Cinema!& 3/5 CTV_2020-05-28 - DEREK JARMAN: Selected Film Work 👁"
Nitrate Kisses,1992,"4/8 CTV_2022-06-30 - Feral Fringe: Experimental, Erotic & Cerebral Queer Cinema RETURNS!"
The Goddess Bunny,1994,"5/8 CTV_2022-06-30 - Feral Fringe: Experimental, Erotic & Cerebral Queer Cinema RETURNS!& 9/11 CTV_2020-12-15 - WONDERFUL WEIRDOS!"
Looking For Langston,1989,"6/8 CTV_2022-06-30 - Feral Fringe: Experimental, Erotic & Cerebral Queer Cinema RETURNS!"
Poison,1991,"7/8 CTV_2022-06-30 - Feral Fringe: Experimental, Erotic & Cerebral Queer Cinema RETURNS!& 7/9 CTV_2021-06-10 - Feral Fringe: Experimental, Erotic & Cerebral Queer Cinema!& 1/7 CTV_2020-12-09 - Surreal Passions"
Querelle,1982,"8/8 CTV_2022-06-30 - Feral Fringe: Experimental, Erotic & Cerebral Queer Cinema RETURNS!& 2/5 CTV_2020-05-20 - It’s Wednesday and that equals up to a Fassbinder QUADRUPLE Feature!"
Poison Ivy,1992,1/8 CTV_2022-06-29 - We welcome back the amazing @eyes.of.mars to present her curation of Twisted BFFs : Part 1 - The Female Edition
